22,1,AZUA
26,1,BAHORUCO
25,1,BARAHONA
20,1,DAJABÓN
2,1,SANTO DOMINGO (GRAN)
8,1,DUARTE
24,1,ELÍAS PIÑA
6,1,EL SEIBO
16,1,ESPAILLAT
7,1,HATO MAYOR
27,1,INDEPENDENCIA
5,1,LA ALTAGRACIA
4,1,LA ROMANA
12,1,LA VEGA
10,1,MARÍA TRINIDAD SÁNCHEZ
13,1,MONSEÑOR NOUEL
19,1,MONTE CRISTI
30,1,MONTE PLATA
1,1,DISTRITO NACIONAL
32,1,PERAVIA
28,1,PEDERNALES
17,1,PUERTO PLATA
11,1,HERMANAS MIRABAL (SALCEDO)
9,1,SAMANÁ
14,1,SÁNCHEZ RAMÍREZ
29,1,SAN CRISTÓBAL
31,1,SAN JOSÉ DE OCOA
23,1,SAN JUAN DE LA MAGUANA
3,1,SAN PEDRO DE MACORÍS
15,1,SANTIAGO
21,1,SANTIAGO RODRÍGUEZ
18,1,VALVERDE
